Question,Answer
"Which of the following statements is not true about the reproduction of jaguars?
",Both males and females provide parenting of the cubs.
"How can jaguars be described in terms of social activity?
",Solitary
"In jaguars society only male animals hunt while females look after the cubs.
",False
"All but one of the following activities are generally untypical for jaguars. Choose the one most natural to them.
",Stalking and ambushing their prey
"In nature adult jaguars are apex predators in the food chain. What does this mean?
",They are not preyed on by other predators.
"The jaguar is the national animal of which of the following countries?
",Brasil
"Jaguars closely resemble which other big cats in physical appearance?
",Leopard
"Jaguars appearance seems to vary across regions and habitats. How do forest jaguars differ from the jaguars in open areas?
",Forest jaguars are generally darker and smaller
"What continent does the large Griffon Vulture inhabit?
",All of these
"What common name is used to refer to the scavenging animals, representatives of the order Opiliones?
",Harvestmen
"What is the literal meaning of the word raccoon, which originates from the Algonquin word ahrah-koon-em and denotes a scavenging mammal?
","One who rubs, scrubs and scratches with its hands"
"What term is mainly used in literature to refer to a group of crows?
",A murder
"What term refers to the animal that is the result of crossbreeding between a male coyote and a female dog?
",Coydog
"What do the beetles from the genus Nicrophorus do after finding a carcass?
",They bury it.
"What hyena species is the largest surviving on the planet?
",Spotted Hyena
"What kind of animals are the Yellow jackets, the scavenging and predatory animals belonging to the genera Vespula and Dolichovespula?
",Wasps
"Lions may be skilled predators, but they would also eat carrion. What animal is the lions preferred food?
",Wildebeest
"Which of these names is commonly used for the carrion flies, belonging to the family Calliphoridae?
",All of these
"The diet of most parrots consists of this type of food.
",All of these
"Which of these statements is true about the parrots breeding habits?
",Parrots are monogamous.
"What is the color of the eggs of all parrot species?
",White
"Parrots are considered the most intelligent birds on the planet along with these birds.
",All of these
"These parrots are believed to be the best at imitating sounds and human speech.
",African Grey Parrot
"Larger parrot species have longer life spans than smaller ones. What is the average life span of a large parrot?
",Up to 80 years
"What is the predominant color in Amazon Parrots plumage?
",Green
"The heaviest parrot species on the planet is the Kakapo. What is the average weight that a normal mature Kakapo can reach?
",2 to 4 kg
"Which of these makes Cockatoos different from other parrot species?
",All of these
"Lories and lorikeets have special tongues with brush-like tips for feeding on very small insects.
",False
"This cat breed has a wild markings and is a crossbreed between an Asian Leopard Cat and a domestic cat.
",Bengal
"This old breed of cat has long fur. It originated in the Middle East, and some of its representatives have a flat face.
",Persian
"This hairless cat has a dog-like face and folded ears.
",Ukrainian Levkoy
"This large cat was is the result of crossbreeding between a domestic cat and a Jungle Cat.
",All of these
"This cat breed originated in Russia and has a short fluffy tail.
",Kurilian Bobtail
"This cat breed is believed to have developed naturally in China. It has short golden brown fur with the so-called broken striped pattern and a large strong body.
",Dragon Li
"What cat breed, also called the Greyhound of the cats, has no hair except for down?
",Cornish Rex
"What cat breed has very thick short fur, large round eyes, round head and chubby cheeks?
",British Shorthair
"This breed of cat has a round head, large round eyes and very small ears bended forward and downward.
",Scottish Fold
"This old large cat breed occurred naturally in Europe. It has waterproof thick fluffy fur and can survive very cold weather.
",Norwegian Forest Cat
"What is the name of the communities formed by rabbits living together?
",Warrens
"Which of these statements is true about the difference between rabbits and hares?
",All of these
"Which of these statements is true about the digestive tract of rabbits?
",They are hindgut digesters.
"What is the common name of cecotropes, products of the cecum which rabbits reingest to get nutrients?
",Night feces
"Rabbits vomit often to get rid of whatever their stomach is unable to digest.
",False
"Which of these types of food do rabbits prefer to include  in their daily diet?
",All of these
"Which of these statements is true about the behavior of rabbits?
",All of these
"What is the name used for young rabbits?
",Kittens
"What are rabbits associated with in Aztec mythology?
",All of these
"What is the place of rabbits in Japanese tradition and mythology?
",They are believed to inhabit the Moon.
"Scorpions are not found naturally in this geographical area.
",New Zealand
"What name is used to refer to the scorpion species also known as Omdurman scorpion, and Israeli desert scorpion?
",Deathstalker
"Scorpions are known to glow when exposed to this type of light.
",Blacklight
"What distinctive anatomical characteristic do the scorpions from the Hemiscorpiidae family possess, which makes them easily recognizable?
",Their body is flat and broad.
"There is a separate species of scorpions which have two tails, with a venomous sting on each tail.
",False
"Where does the female scorpion raise its young?
",On her back
"Which of these statements is wrong about the reproduction of scorpions?
",All of these
"What does the diet of scorpions usually consist of?
",Insects
"What type of behavior is characteristic of scorpion species?
",Photophobic behavior
"Scorpion venom is regarded as a potential source of chemicals that can be used in the treatment of this disease.
",All of these
"What common name is used to refer to the insects from the subfamily Triatominae, mainly found in the Americas?
",Kissing bugs
"What is the largest extant butterfly species on the planet?
",Queen Alexandras Birdwing
"Why were the insects known as snakeflies given this interesting name?
",Their body is elongated.
"What distinctive anatomical feature does the beetle species Trogodendron fasciculatum possess?
",Bright yellow antennae
"What does the flamboyant flower beetle, also known as striped love beetle, feed on?
",Nectar
"What belief about the European hornet, the largest European eusocial wasp, is widespread among the people who are afraid of it?
","Three stings can kill an adult human, and seven can kill a horse."
"To what geographical area is the Ctenomorphodes chronus, a species of stick insect, endemic?
",Australia
"What kind of substance does the female redeye cicada prefer for laying eggs into?
",Plant tissue
"What part of their body do the insects from order Archaeognatha use to spring up into the air?
",Tail
"What is the literal translation of the Greek word Embioptera, which denotes an order of insects, also known as webspinners?
",Lively wings
